,FAC_NAME,CWA_NAICS,CAA_NAICS,RCRA_NAICS,FAC_NAICS_CODES,FAC_LAT,FAC_LONG,FAC_INSPECTION_COUNT,FAC_DAYS_LAST_INSPECTION,FAC_INFORMAL_COUNT,FAC_FORMAL_ACTION_COUNT,FAC_PERCENT_MINORITY,FAC_TOTAL_PENALTIES,FAC_PENALTY_COUNT,FAC_QTRS_WITH_NC,EJSCREEN_FLAG_US
0,ST. REGIS GAS TREATING FACILITY,211111 211112,,,211120 211112 211111,30.94845,-87.17817,1,1048.0,0,0,5.296,0,,0,N
1,"FIELDWOOD ENERGY, LLC VK 340 A",211120,,,211120,29.636389,-88.092222,0,,0,0,0.0,0,,2,
2,BRUCE PLATFORM,,211111 211120,,211120 211111,60.998013,-151.299784,3,563.0,1,0,0.0,0,,1,N
3,TERRACORE OPERATING CO LLC,,,211120,211120,34.83205,-120.312449,0,,0,0,37.657,0,,0,N
4,ENERGEN RESOURCES CORP - BRUSH CREEK,211120,,,211120,33.2861,-87.3906,1,114.0,0,0,6.667,0,,0,N
5,RIVER ROAD FACILITY,211120,,,211120,33.165641,-87.735816,1,181.0,0,0,31.718,0,,0,N
6,GRAYLING PLATFORM,211111,211111 211120,,211120 211111,60.838491,-151.615233,3,648.0,2,0,0.0,0,,5,N
7,A.O. SCHUMANN LEASE,211120,,,211120,27.797806,-97.395694,7,467.0,0,0,81.923,0,,0,Y
8,"FIELDWOOD ENERGY, APACHE MO 821 A",211120,,,211120,30.298889,-88.406389,0,,0,0,0.0,0,,0,N
9,AVERY ISLAND PETIT ANSE BATTERY,,211120 211111,,211120 211111,29.89462,-91.91872,2,331.0,0,0,14.184,0,,0,Y
10,CHEVRON MO 872 PTF A,211120,,,211120,30.153611,-87.893611,0,,0,0,0.0,0,,1,
11,ENERGY RESOURCE TECHNOLOGY VK 204 WELL C,211120,,,211120,29.778889,-88.307778,0,,0,0,0.0,0,,5,
12,"COX OPERATING, LLC MO 916 AP",211120,,,211120,30.1,-87.902222,0,,0,0,0.0,0,,1,
13,WATERFORD FACILITY,,211111 211120,,211120 211111,29.920768,-90.367577,0,2617.0,0,0,,0,,0,
14,COUGET ET AL WELL #1 - DONNER FIELD,,211120 211111,,211120 211111,29.704222,-90.98825,0,,1,2,30.402,2250,2.0,0,Y
15,OYSTER BAYOU EOR FACILITY,,,,211120,29.692444,-94.5065,0,,0,0,0.0,0,,0,Y
16,"FIELDWOOD ENERGY, LLC VK 251 3",211120,,,211120,29.746389,-88.158611,0,,0,0,0.0,0,,2,
17,WHITING OIL & GAS CORPORATION,,,,211120,39.7434,-104.98739,0,,0,0,41.468,0,,0,N
18,YELLOWHAMMER GAS PLANT,211120,,221111,211130 211112 211120 221111,30.4025,-88.130556,1,635.0,0,0,6.772,0,,0,N
19,SHELL OFFSHORE INC. - GE-PL-PLEM,211120,,,211120,29.78626,-95.60658,0,,0,0,42.527,0,,0,Y
20,ABA ENERGY CORP - VBC #1,,,,211120,39.90063,-122.45034,0,4267.0,0,0,14.961,0,,0,Y
21,ANDREWS PRODUCTION FACILITY,,211111 211120,,211120 211111,30.320677,-92.699391,0,3946.0,0,0,,0,,0,
22,DONNER PROPERTIES PRODUCTION FACILITY,,211111 211120,,211120 211111,30.241701,-93.588201,0,5386.0,0,0,14.628,0,,0,N
23,CAMERON MEADOWS CENTRAL FACILITY,,211111 211120,,211120 211111,29.798777,-93.199323,0,,0,0,,0,,0,
24,MGGT-GL PRODUCTION FACILITY,,211111 211120,,211120 211111,30.09973,-93.46364,0,5386.0,0,0,4.651,0,,0,N
